"項目","単位","1985.0","1986.0","1987.0","1988.0","1989.0","1990.0","1991.0","1992.0","1993.0","1994.0","1995.0","1996.0","1997.0","1998.0","1999.0","2000.0","2001.0","2002.0","2003.0","2004.0","2005.0","2006.0","2007.0","2008.0","2009.0","有効数字(少数桁)"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）_ 総 数","","7557.0","7247.0","6970.0","6521.0","6184.0","5969.0","5798.0","5624.0","5555.0","5599.0","5556.0","5520.0","5601.0","5789.0","5967.0","6233.0","6569.0","7062.0","7677.0","8175.0","8529.0","8857.0","9167.0","9426.0","9895.0","11174.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）_単身者世帯___高年齢世帯","","2172.0","2156.0","2122.0","2103.0","2071.0","2104.0","2129.0","2147.0","2199.0","2220.0","2256.0","2330.0","2509.0","2694.0","2808.0","2966.0","3186.0","3479.0","3733.0","3955.0","3869.0","4111.0","4339.0","4537.0","4716.0","5330.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）____傷病 障害世帯","","2031.0","2001.0","2007.0","1954.0","1922.0","1850.0","1788.0","1715.0","1664.0","1717.0","1710.0","1715.0","1652.0","1650.0","1678.0","1714.0","1777.0","1775.0","1877.0","1972.0","2309.0","2383.0","2428.0","2469.0","2555.0","2727.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）____その他の世帯","","183.0","140.0","126.0","104.0","77.0","75.0","68.0","69.0","80.0","80.0","70.0","60.0","66.0","68.0","73.0","68.0","77.0","135.0","212.0","248.0","305.0","290.0","301.0","322.0","449.0","775.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）_２人以上の世帯___高年齢世帯","","499.0","461.0","386.0","370.0","333.0","315.0","306.0","297.0","288.0","289.0","303.0","310.0","331.0","363.0","416.0","450.0","485.0","532.0","572.0","622.0","566.0","588.0","594.0","618.0","642.0","659.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）____母子世帯","","822.0","764.0","691.0","580.0","510.0","478.0","419.0","392.0","369.0","358.0","331.0","295.0","276.0","265.0","275.0","296.0","313.0","339.0","393.0","439.0","446.0","458.0","484.0","481.0","495.0","527.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）____傷病 障害世帯","","1350.0","1342.0","1300.0","1146.0","1059.0","960.0","908.0","809.0","774.0","754.0","718.0","655.0","630.0","606.0","582.0","602.0","597.0","638.0","689.0","713.0","779.0","760.0","753.0","727.0","731.0","761.0"
"Ｓ-01 生活保護被保護世帯_Ａ．世帯類型別被保護世帯数（停止中を除く）____その他の世帯","","500.0","384.0","338.0","266.0","212.0","188.0","180.0","195.0","181.0","181.0","168.0","155.0","139.0","143.0","136.0","138.0","135.0","164.0","203.0","226.0","255.0","267.0","267.0","273.0","306.0","394.0"
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ｓ-01 生活保護被保護世帯_Ｂ．労働力類型別被保護世帯数_総数","","7570.0","7261.0","6979.0","6531.0","6192.0","5980.0","5806.0","5631.0","5563.0","5604.0","5563.0","5534.0","5613.0","5796.0","5976.0","6243.0","6577.0","7072.0","7686.0","8191.0","8543.0","8873.0","9183.0","9447.0","9924.0","11212.0"
"Ｓ-01 生活保護被保護世帯_Ｂ．労働力類型別被保護世帯数_世帯主が働いている世帯___常用勤労者","","198.0","165.0","157.0","129.0","124.0","107.0","94.0","89.0","80.0","80.0","84.0","82.0","83.0","84.0","82.0","95.0","102.0","102.0","119.0","128.0","174.0","197.0","220.0","242.0","280.0","345.0"
"Ｓ-01 生活保護被保護世帯_Ｂ．労働力類型別被保護世帯数_世帯主が働いている世帯___日雇労働者","","228.0","196.0","210.0","202.0","191.0","196.0","191.0","189.0","194.0","178.0","163.0","139.0","125.0","130.0","121.0","113.0","125.0","135.0","152.0","174.0","201.0","193.0","209.0","202.0","236.0","341.0"
"Ｓ-01 生活保護被保護世帯_Ｂ．労働力類型別被保護世帯数_世帯主が働いている世帯___内職者","","172.0","137.0","151.0","151.0","118.0","109.0","103.0","98.0","95.0","87.0","80.0","59.0","61.0","54.0","52.0","50.0","40.0","36.0","37.0","48.0","45.0","47.0","42.0","40.0","42.0","56.0"
